parking space,latitude,longitude
Amstelpark,52.334105,4.893702
Baanakkerspark,52.395654,4.944886
Beatrixpark,52.340804,4.881667
Bella Vistapark,52.3373954,4.9180886
Bergwijkpark,52.328393,4.957531
Buiksloterbreekpark,52.403142,4.906788
Buikslotermeerpark,52.4059,4.941451
Diermerpark,52.352356,4.991526
Eendrachtspark,52.380601,4.808558
Erasmuspark,52.373553,4.852268
Flevopark,52.363338,4.953024
Funenpark,52.370423,4.932634
Gaasperpark,52.307704,5.002509
Gerbrandypark,52.378434,4.830374
Gijsbrecht van Aemstelpark,52.3282,4.882657
Julianaparkje,52.346118,4.922209
Kasterlee park,52.349677,4.810143
Lutkemeerpark,52.36465,4.762661
Martin Luther Kingpark,52.339341,4.908426
Meerpark,52.34695,4.94993
Nelson Mandelapark,52.306709,4.964399
Noorderpark,52.391106,4.916855
Oeverpark Schellingwoude,52.385283,4.963883
Oostenburgerpark,52.368785,4.926183
Park De Kuil,52.378145,4.792047
Park Schinkeleilanden,52.343193,4.850315
Park Somerlust,52.340692,4.917866
Piet Wiedijkpark,52.353057,4.817727
Prins Bernhardpark,52.346941,4.926532
Rembrandtpark,52.362706,4.844943
Rietlandpark,52.372161,4.934287
Sarphatipark,52.353412,4.894705
Schellingwouderbreekpark,52.389867,4.953788
Siegerpark,52.339242,4.818469
Sloterpark,52.360758,4.816634
Stadspark Osdorp,52.353159,4.800874
Theo van Goghpark,52.35059,5.003941
Vondelpark,52.354702,4.85755
Wertheimpark,52.367799,4.909432
Westertochtpark,52.415937,4.875358
Woonomgeving Rembrandtpark west,52.36326,4.844275
Amstelveld,52.362400000000,4.897700000000
Appeltjesmarkt,52.368700000000,4.877200000000
Artis,52.366000000000,4.916500000000
Biologische markt,52.399900000000,4.935400000000
Bloemenmarkt,52.366800000000,4.891300000000
De Dam,52.373100000000,4.892600000000
Groenmarkt,52.371300000000,4.875310000000
Frederiksplein,52.359400000000,4.897700000000
Haarlemmerplein,52.384954900000,4.881195000000
Herenmarkt,52.379497600000,4.891953900000
Koningsplein,52.366831866000,4.886996452000
Kunstmarkt Spui,52.375510000000,4.886610000000
Leidsebosje,52.363100000000,4.880800000000
Leidseplein,52.363700000000,4.882200000000
Lindenmarkt,52.380101000000,4.882539600000
Max Euweplein,52.362859500000,4.883305600000
Mien Ruysplantsoen,52.389174300000,4.830852800000
Muntplein,52.366831866000,4.889329776000
Noordermarkt,52.379200000000,4.886600000000
Oudekerksplein,52.371165182000,4.891996432000
Raamplein,52.366338000000,4.880340000000
Rembrandt Art Market,52.365990000000,4.895940000000
Het Spui,52.368800000000,4.889500000000
Tuinplein,52.377142358729,4.883511152465
vlooienmarkt,52.402040000000,4.894710000000
Weesperplein,52.361200000000,4.908000000000
Westermarkt,52.374073400000,4.884070600000